iteracion,reloj,evento,rnd_llegada,prox_llegada,rnd_asignacion,tecnico_asignado,rnd_diagnostico,tiempo_diagnostico,hora_fin_diagnostico,importe,espera,tecnicos,cola,id_cliente,estado_cliente,espera_acumulada,tiempo_atencion,cupones
39,146.33,Fin_atencion,-,-,-,Aprendiz,-,-,146.33,1800,0.0,"['ocupado', 'ocupado', 'ocupado']","[0, 1, 2]",18,atendiendo,0.0,0,0
40,149.08,Llegada,0.5893,-,0.7329,Técnico B,-,-,-,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 1, 2]",23,esperando,-,0,0
41,152.3,Llegada,0.6765,-,0.5944,Técnico A,-,-,-,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 1, 3]",24,esperando,-,0,0
42,152.32,Fin_atencion,-,-,-,Técnico A,-,-,152.32,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 2, 3]",21,atendiendo,0.0,0,0
43,155.44,Fin_atencion,-,-,-,Técnico B,-,-,155.44,3500,33.44,"['libre', 'ocupado', 'ocupado']","[0, 1, 3]",15,atendiendo,33.44,0,0
44,158.45,Llegada,0.1296,-,0.7666,Técnico B,-,-,-,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 1, 2]",25,esperando,-,0,1500
45,163.39,Fin_atencion,-,-,-,Técnico A,-,-,163.39,3500,9.45,"['libre', 'ocupado', 'ocupado']","[0, 1, 3]",22,atendiendo,9.45,0,1500
46,166.6,Llegada,0.9395,-,0.9468,Técnico B,-,-,-,3500,0.0,"['libre', 'ocupado', 'ocupado']","[0, 0, 3]",26,esperando,-,0,1500
47,171.79,Fin_atencion,-,-,-,Técnico B,-,-,171.79,3500,29.4,"['libre', 'ocupado', 'ocupado']","[0, 0, 4]",19,atendiendo,29.4,0,1500
48,174.66,Fin_atencion,-,-,-,Técnico A,-,-,174.66,3500,11.09,"['libre', 'ocupado', 'ocupado']","[0, 0, 3]",24,atendiendo,11.09,0,1500
49,176.97,Llegada,0.4714,-,0.1906,Técnico A,0.3412,11.68,188.65,3500,0.0,"['libre', 'libre', 'ocupado']","[0, 0, 3]",27,esperando,-,0,1500
50,176.97,Fin simulacion,-,-,-,-,-,-,-,-,-,"['libre', 'ocupado', 'ocupado']","[0, 0, 3]",24,finalizado,11.09,11.27,1500
